Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Aaron Hall,28.0,3.0,31.0,14.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,12.0,0.0,0.0,0.0,25.0,24.0,77.4,0.0,0.0,1.0,0.0,0.0,0.0,5.0,734.0,5.0,2.0,0.0,85.0,0,0
Luke McDonald,15.0,11.0,26.0,8.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,3.0,1.0,0.0,2.0,8.0,18.0,19.0,73.1,1.0,0.0,1.0,0.0,0.0,1.0,4.0,445.0,4.0,5.0,0.0,81.0,0,0
Jy Simpkin,10.0,13.0,23.0,3.0,0.0,0.0,7.0,0.0,1.0,3.0,7.0,0.0,0.0,3.0,0.0,9.0,13.0,17.0,73.9,0.0,0.0,1.0,0.0,5.0,2.0,7.0,406.0,3.0,2.0,1.0,83.0,0,0
Tarryn Thomas,16.0,7.0,23.0,9.0,1.0,0.0,7.0,0.0,0.0,5.0,3.0,3.0,3.0,3.0,0.0,6.0,17.0,16.0,69.6,0.0,2.0,0.0,1.0,1.0,2.0,6.0,509.0,4.0,3.0,0.0,73.0,0,0
Luke D-Uniacke,15.0,6.0,21.0,4.0,0.0,0.0,3.0,0.0,1.0,8.0,6.0,3.0,3.0,1.0,1.0,13.0,12.0,16.0,76.2,0.0,0.0,1.0,0.0,4.0,2.0,4.0,379.0,3.0,2.0,0.0,86.0,0,0
Jack Ziebell,19.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,9.0,18.0,94.7,1.0,0.0,3.0,0.0,0.0,0.0,2.0,242.0,2.0,4.0,0.0,89.0,0,0
Shaun Atley,12.0,7.0,19.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,16.0,16.0,84.2,1.0,0.0,1.0,0.0,0.0,0.0,3.0,133.0,2.0,3.0,0.0,76.0,0,0
Jaidyn Stephenson,13.0,5.0,18.0,4.0,0.0,2.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,1.0,1.0,6.0,11.0,11.0,61.1,1.0,1.0,0.0,1.0,1.0,1.0,5.0,445.0,2.0,1.0,0.0,78.0,0,0
Todd Goldstein,7.0,8.0,15.0,1.0,0.0,1.0,3.0,37.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,8.0,10.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,3.0,134.0,1.0,3.0,1.0,90.0,0,0
Curtis Taylor,11.0,4.0,15.0,7.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,13.0,14.0,93.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,255.0,1.0,3.0,0.0,80.0,0,0
Will Phillips,5.0,10.0,15.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,11.0,12.0,80.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,132.0,1.0,0.0,1.0,72.0,0,0
Robbie Tarrant,12.0,1.0,13.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,9.0,12.0,92.3,2.0,0.0,6.0,0.0,0.0,0.0,2.0,152.0,0.0,4.0,0.0,85.0,0,0
Cameron Zurhaar,10.0,3.0,13.0,5.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,0.0,6.0,6.0,6.0,46.2,1.0,2.0,0.0,0.0,0.0,0.0,3.0,317.0,6.0,1.0,4.0,82.0,0,0
Bailey Scott,7.0,6.0,13.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,8.0,11.0,84.6,0.0,1.0,0.0,0.0,1.0,1.0,7.0,198.0,3.0,1.0,0.0,82.0,0,0
Ben McKay,6.0,6.0,12.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,91.7,0.0,0.0,6.0,0.0,0.0,0.0,2.0,117.0,1.0,2.0,0.0,95.0,0,0
Charlie Lazzaro,5.0,7.0,12.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,5.0,8.0,9.0,75.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,159.0,1.0,1.0,0.0,69.0,0,0
Nick Larkey,7.0,4.0,11.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,7.0,5.0,7.0,63.6,0.0,2.0,0.0,0.0,0.0,0.0,8.0,108.0,2.0,2.0,0.0,87.0,0,0
Joshua Walker,3.0,7.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,10.0,8.0,80.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,136.0,1.0,2.0,0.0,92.0,0,0
Trent Dumont,5.0,5.0,10.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,120.0,0.0,2.0,1.0,81.0,0,0
Tristan Xerri,3.0,7.0,10.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,4.0,7.0,70.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,51.0,1.0,0.0,1.0,74.0,0,0
Jack Mahony,4.0,5.0,9.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,4.0,7.0,77.8,0.0,1.0,0.0,0.0,0.0,1.0,3.0,127.0,1.0,2.0,3.0,69.0,0,0
Kayne Turner,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,1.0,1.0,0.0,80.0,0,0
Atu Bosenavulagi,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,13.0,0,0
Zachary Merrett,14.0,25.0,39.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,9.0,5.0,5.0,0.0,3.0,10.0,28.0,31.0,79.5,0.0,0.0,1.0,0.0,1.0,8.0,9.0,435.0,4.0,0.0,0.0,87.0,1,3
Darcy Parish,17.0,17.0,34.0,6.0,0.0,0.0,6.0,0.0,1.0,7.0,8.0,4.0,4.0,1.0,0.0,16.0,19.0,21.0,61.8,0.0,0.0,1.0,0.0,4.0,4.0,9.0,463.0,5.0,1.0,2.0,85.0,1,1
Dyson Heppell,17.0,10.0,27.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,6.0,20.0,20.0,74.1,0.0,0.0,3.0,1.0,0.0,1.0,5.0,536.0,3.0,7.0,0.0,87.0,1,0
Will Snelling,8.0,14.0,22.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,19.0,20.0,90.9,0.0,1.0,1.0,1.0,0.0,2.0,9.0,285.0,2.0,1.0,0.0,80.0,1,0
Jordan Ridley,16.0,5.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,4.0,12.0,19.0,90.5,0.0,0.0,5.0,0.0,0.0,0.0,4.0,429.0,3.0,8.0,0.0,97.0,1,0
