Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Adam Treloar,13.0,27.0,40.0,2.0,2.0,2.0,5.0,0.0,0.0,6.0,5.0,2.0,2.0,0.0,1.0,12.0,26.0,28.0,70.0,0.0,1.0,0.0,2.0,1.0,4.0,8.0,343.0,4.0,7.0,0.0,78.0,1,3
Tom Phillips,22.0,14.0,36.0,6.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,0.0,1.0,8.0,27.0,28.0,77.8,0.0,0.0,1.0,0.0,0.0,3.0,8.0,677.0,3.0,3.0,0.0,95.0,1,0
Scott Pendlebury,14.0,18.0,32.0,1.0,1.0,0.0,5.0,0.0,2.0,4.0,6.0,4.0,2.0,2.0,0.0,13.0,19.0,23.0,71.9,0.0,0.0,0.0,0.0,2.0,4.0,7.0,431.0,7.0,6.0,0.0,84.0,1,1
Jack Crisp,16.0,16.0,32.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,1.0,2.0,10.0,22.0,26.0,81.2,0.0,0.0,1.0,1.0,1.0,4.0,9.0,427.0,3.0,5.0,0.0,95.0,1,0
Tom Langdon,13.0,16.0,29.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,8.0,21.0,21.0,72.4,1.0,0.0,3.0,0.0,0.0,0.0,7.0,316.0,4.0,5.0,0.0,85.0,1,0
Taylor Adams,13.0,13.0,26.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,4.0,2.0,1.0,2.0,9.0,16.0,18.0,69.2,0.0,0.0,0.0,0.0,1.0,3.0,6.0,317.0,5.0,2.0,0.0,78.0,1,0
Brodie Grundy,9.0,17.0,26.0,7.0,0.0,0.0,2.0,38.0,0.0,3.0,7.0,4.0,3.0,2.0,2.0,21.0,7.0,19.0,73.1,3.0,0.0,1.0,1.0,1.0,6.0,6.0,213.0,3.0,3.0,0.0,88.0,1,2
Matthew Scharenberg,11.0,15.0,26.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,4.0,3.0,2.0,7.0,19.0,26.0,100.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,396.0,2.0,7.0,0.0,90.0,1,0
Steele Sidebottom,15.0,9.0,24.0,5.0,1.0,1.0,4.0,0.0,1.0,6.0,2.0,4.0,2.0,0.0,1.0,7.0,16.0,16.0,66.7,0.0,0.0,1.0,0.0,0.0,2.0,6.0,450.0,8.0,1.0,0.0,85.0,1,0
Lynden Dunn,15.0,8.0,23.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,7.0,15.0,19.0,82.6,1.0,0.0,5.0,0.0,0.0,0.0,4.0,357.0,4.0,8.0,0.0,88.0,1,0
Levi Greenwood,8.0,14.0,22.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,4.0,19.0,17.0,77.3,0.0,0.0,3.0,0.0,0.0,0.0,3.0,159.0,4.0,6.0,0.0,82.0,1,0
Christopher Mayne,14.0,6.0,20.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,7.0,11.0,15.0,75.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,238.0,6.0,4.0,0.0,83.0,1,0
Will H-Elliott,14.0,4.0,18.0,9.0,2.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,15.0,14.0,77.8,0.0,3.0,2.0,1.0,0.0,0.0,8.0,268.0,1.0,1.0,4.0,84.0,1,0
