Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
David Zaharakis,19.0,21.0,40.0,4.0,0.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,4.0,1.0,0.0,11.0,29.0,32.0,80.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0,583.0,5.0,4.0,0.0,85.0,1,2
Zachary Merrett,20.0,18.0,38.0,6.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,10.0,27.0,28.0,73.7,0.0,0.0,1.0,0.0,1.0,3.0,6.0,530.0,5.0,4.0,0.0,80.0,1,3
Mathew Stokes,13.0,19.0,32.0,7.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,9.0,24.0,26.0,81.2,0.0,1.0,0.0,0.0,0.0,2.0,9.0,307.0,5.0,6.0,1.0,87.0,1,0
James Kelly,12.0,14.0,26.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,3.0,9.0,15.0,24.0,92.3,1.0,0.0,2.0,0.0,0.0,1.0,4.0,284.0,6.0,8.0,0.0,83.0,1,0
Craig Bird,8.0,17.0,25.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,11.0,14.0,17.0,68.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,170.0,6.0,2.0,1.0,78.0,1,0
Jonathan Simpkin,12.0,12.0,24.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,6.0,19.0,19.0,79.2,0.0,0.0,1.0,1.0,0.0,2.0,4.0,426.0,5.0,2.0,0.0,87.0,1,0
Martin Gleeson,7.0,16.0,23.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,5.0,18.0,20.0,87.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,223.0,1.0,6.0,0.0,85.0,1,0
Conor McKenna,15.0,7.0,22.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,5.0,1.0,2.0,5.0,17.0,17.0,77.3,0.0,0.0,4.0,2.0,0.0,1.0,7.0,451.0,4.0,6.0,0.0,75.0,1,0
James Polkinghorne,3.0,18.0,21.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,8.0,16.0,19.0,90.5,0.0,0.0,5.0,0.0,1.0,1.0,4.0,44.0,1.0,1.0,0.0,69.0,1,0
Mitchell Brown,14.0,7.0,21.0,11.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,15.0,20.0,95.2,2.0,1.0,5.0,0.0,0.0,0.0,3.0,381.0,2.0,7.0,0.0,94.0,1,0
