Player,Kicks BTRS,Kicks OTRS,Handballs BTRS,Handballs OTRS,Disposals BTRS,Disposals OTRS,Marks BTRS,Marks OTRS,Goals BTRS,Goals OTRS,Behinds BTRS,Behinds OTRS,Tackles BTRS,Tackles OTRS,Hitouts BTRS,Hitouts OTRS,Goal Assists BTRS,Goal Assists OTRS,Inside 50s BTRS,Inside 50s OTRS,Clearances BTRS,Clearances OTRS,Clangers BTRS,Clangers OTRS,Rebound 50s BTRS,Rebound 50s OTRS,Frees For BTRS,Frees For OTRS,Frees Agains BTRS,Frees Agains OTRS,Contested Possessions BTRS,Contested Possessions OTRS,Uncontested Possessions BTRS,Uncontested Possessions OTRS,Effective Disposals BTRS,Effective Disposals OTRS,Contested Marks BTRS,Contested Marks OTRS,Marks Inside 50 BTRS,Marks Inside 50 OTRS,One Percenters BTRS,One Percenters OTRS,Bounces BTRS,Bounces OTRS,Centre Clearances BTRS,Centre Clearances OTRS,Stoppage Clearances BTRS,Stoppage Clearances OTRS,Score Involvements BTRS,Score Involvements OTRS,Metres Gained BTRS,Metres Gained OTRS,Turnovers BTRS,Turnovers OTRS,Intercepts BTRS,Intercepts OTRS,Tackles Inside 50 BTRS,Tackles Inside 50 OTRS,Time On Ground % BTRS,Time On Ground % OTRS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTRS,Uncontested Marks OTRS,Marks Outside 50 BTRS,Marks Outside 50 OTRS,Tackles Outside 50 BTRS,Tackles Outside 50 OTRS,Behind Assists BTRS,Behind Assists OTRS,Ineffective Disposals BTRS,Ineffective Disposals OTRS
Nathan Wilson,0.6363636363636364,0.6818181818181818,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.5454545454545454,0.1590909090909091,0.22727272727272727,0.18181818181818182,0.36363636363636365,0.11363636363636363,0.22727272727272727,0.022727272727272728,0.045454545454545456,0.20454545454545456,0.4090909090909091,0.8636363636363636,0.8636363636363636,0.5,0.5454545454545454,0.045454545454545456,0.09090909090909091,0.4090909090909091,0.45454545454545453,0.6136363636363636,0.6818181818181818,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.11363636363636363,0.13636363636363635,0.4318181818181818,0.6363636363636364,0.1590909090909091,0.3181818181818182,0.11363636363636363,0.22727272727272727,0.4090909090909091,0.5,0.9545454545454546,0.9545454545454546,0.13636363636363635,0.2727272727272727,0.06818181818181818,0.13636363636363635,0.5909090909090909,0.6363636363636364,0.9090909090909091,0.8636363636363636,0.2727272727272727,0.3181818181818182,0.9772727272727273,1.0,0.18181818181818182,0.36363636363636365,0.7045454545454546,0.7727272727272727,1,Home,0,0.3181818181818182,0.45454545454545453,0.2727272727272727,0.4090909090909091,0.045454545454545456,0.09090909090909091,0.4318181818181818,0.5454545454545454,0.4318181818181818,0.4090909090909091
Sean Darcy,0.13636363636363635,0.18181818181818182,0.7045454545454546,0.7272727272727273,0.4318181818181818,0.5909090909090909,0.18181818181818182,0.2727272727272727,0.7954545454545454,0.8181818181818182,0.13636363636363635,0.2727272727272727,1.0,1.0,1.0,1.0,0.8863636363636364,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8863636363636364,0.8636363636363636,0.11363636363636363,0.13636363636363635,0.0,0.0,0.5454545454545454,0.6818181818181818,0.25,0.3181818181818182,0.8409090909090909,0.8181818181818182,0.3409090909090909,0.5,0.22727272727272727,0.3181818181818182,0.6363636363636364,0.7272727272727273,0.7727272727272727,0.8181818181818182,0.4318181818181818,0.5454545454545454,0.13636363636363635,0.2727272727272727,0.75,0.9090909090909091,0.8636363636363636,0.8181818181818182,0.9090909090909091,0.8636363636363636,0.29545454545454547,0.3181818181818182,0.38636363636363635,0.45454545454545453,0.13636363636363635,0.18181818181818182,0.9090909090909091,0.9545454545454546,0.6590909090909091,0.6818181818181818,1,Home,0,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.9772727272727273,0.9545454545454546,0.8409090909090909,0.8181818181818182,0.6136363636363636,0.5454545454545454
Reece Conca,0.4090909090909091,0.45454545454545453,0.22727272727272727,0.2727272727272727,0.3181818181818182,0.45454545454545453,0.38636363636363635,0.5,0.20454545454545456,0.4090909090909091,0.1590909090909091,0.3181818181818182,0.8181818181818182,0.8636363636363636,0.22727272727272727,0.45454545454545453,0.1590909090909091,0.3181818181818182,0.5227272727272727,0.5909090909090909,0.06818181818181818,0.13636363636363635,0.4318181818181818,0.5,0.6363636363636364,0.7272727272727273,0.11363636363636363,0.22727272727272727,0.5681818181818182,0.6818181818181818,0.0,0.0,0.36363636363636365,0.5454545454545454,0.3181818181818182,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.7727272727272727,0.8181818181818182,0.1590909090909091,0.3181818181818182,0.1590909090909091,0.3181818181818182,0.09090909090909091,0.18181818181818182,0.4318181818181818,0.5454545454545454,0.6590909090909091,0.6363636363636364,0.5681818181818182,0.5909090909090909,0.6363636363636364,0.6818181818181818,0.20454545454545456,0.4090909090909091,0.36363636363636365,0.4090909090909091,1,Home,0,0.45454545454545453,0.5909090909090909,0.5227272727272727,0.6363636363636364,0.8863636363636364,0.9090909090909091,0.45454545454545453,0.5909090909090909,0.25,0.3181818181818182
Michael Walters,0.20454545454545456,0.22727272727272727,0.36363636363636365,0.45454545454545453,0.20454545454545456,0.2727272727272727,0.06818181818181818,0.09090909090909091,0.8181818181818182,0.8636363636363636,0.18181818181818182,0.36363636363636365,0.7272727272727273,0.7727272727272727,0.25,0.5,0.18181818181818182,0.36363636363636365,0.25,0.2727272727272727,0.5,0.6363636363636364,0.45454545454545453,0.5454545454545454,0.022727272727272728,0.045454545454545456,1.0,1.0,0.5909090909090909,0.7272727272727273,0.5681818181818182,0.5909090909090909,0.13636363636363635,0.18181818181818182,0.3409090909090909,0.5,0.6590909090909091,0.7727272727272727,0.1590909090909091,0.3181818181818182,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.6136363636363636,0.6363636363636364,0.6136363636363636,0.6818181818181818,0.3181818181818182,0.36363636363636365,0.8636363636363636,0.8181818181818182,0.0,0.0,0.9318181818181818,1.0,0.5909090909090909,0.6363636363636364,1,Home,0,0.0,0.0,0.11363636363636363,0.18181818181818182,0.4318181818181818,0.5,0.6590909090909091,0.6818181818181818,0.09090909090909091,0.09090909090909091
Brennan Cox,0.22727272727272727,0.2727272727272727,0.38636363636363635,0.5,0.22727272727272727,0.3181818181818182,0.20454545454545456,0.3181818181818182,0.22727272727272727,0.45454545454545453,0.20454545454545456,0.4090909090909091,0.045454545454545456,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.20454545454545456,0.4090909090909091,0.022727272727272728,0.045454545454545456,0.5227272727272727,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.6590909090909091,0.7727272727272727,0.5681818181818182,0.7272727272727273,0.6136363636363636,0.7727272727272727,0.36363636363636365,0.4090909090909091,0.25,0.3181818181818182,0.5,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.18181818181818182,0.36363636363636365,0.9545454545454546,1.0,0.20454545454545456,0.4090909090909091,0.20454545454545456,0.4090909090909091,0.6363636363636364,0.6818181818181818,0.0,0.0,0.22727272727272727,0.22727272727272727,0.9318181818181818,0.9545454545454546,0.9318181818181818,0.9090909090909091,0.22727272727272727,0.45454545454545453,0.13636363636363635,0.22727272727272727,1,Home,0,0.11363636363636363,0.18181818181818182,0.29545454545454547,0.45454545454545453,0.06818181818181818,0.13636363636363635,0.0,0.0,0.0,0.0
Mitchell Crowden,0.06818181818181818,0.13636363636363635,0.5454545454545454,0.6363636363636364,0.25,0.36363636363636365,0.22727272727272727,0.36363636363636365,0.25,0.5,0.7045454545454546,0.7272727272727273,0.38636363636363635,0.45454545454545453,0.29545454545454547,0.5909090909090909,0.22727272727272727,0.45454545454545453,0.2727272727272727,0.3181818181818182,0.09090909090909091,0.18181818181818182,0.9090909090909091,0.8636363636363636,0.045454545454545456,0.09090909090909091,0.5909090909090909,0.7727272727272727,0.6363636363636364,0.8181818181818182,0.11363636363636363,0.18181818181818182,0.45454545454545453,0.5909090909090909,0.11363636363636363,0.18181818181818182,0.7045454545454546,0.8636363636363636,0.20454545454545456,0.4090909090909091,0.06818181818181818,0.13636363636363635,0.22727272727272727,0.45454545454545453,0.22727272727272727,0.45454545454545453,0.11363636363636363,0.22727272727272727,0.2727272727272727,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.5909090909090909,0.6363636363636364,0.022727272727272728,0.045454545454545456,0.25,0.5,0.11363636363636363,0.18181818181818182,1,Home,0,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.5,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.4090909090909091,0.6363636363636364,0.5909090909090909
Lachlan Schultz,0.4318181818181818,0.5,0.06818181818181818,0.09090909090909091,0.2727272727272727,0.4090909090909091,0.25,0.4090909090909091,0.9772727272727273,0.9545454545454546,0.22727272727272727,0.45454545454545453,0.18181818181818182,0.3181818181818182,0.3181818181818182,0.6363636363636364,0.25,0.5,0.045454545454545456,0.09090909090909091,0.11363636363636363,0.22727272727272727,0.4772727272727273,0.5909090909090909,0.06818181818181818,0.13636363636363635,0.6136363636363636,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.5909090909090909,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.20454545454545456,0.4090909090909091,0.9090909090909091,0.9545454545454546,0.09090909090909091,0.18181818181818182,0.25,0.5,0.25,0.5,0.13636363636363635,0.2727272727272727,0.6363636363636364,0.7272727272727273,0.13636363636363635,0.18181818181818182,0.6136363636363636,0.6818181818181818,0.1590909090909091,0.22727272727272727,0.2727272727272727,0.5454545454545454,0.3181818181818182,0.36363636363636365,1,Home,0,0.3409090909090909,0.5,0.022727272727272728,0.045454545454545456,0.22727272727272727,0.3181818181818182,0.6818181818181818,0.7272727272727273,0.11363636363636363,0.13636363636363635
Minairo Frederick,0.25,0.3181818181818182,0.25,0.3181818181818182,0.1590909090909091,0.18181818181818182,0.5227272727272727,0.6818181818181818,0.2727272727272727,0.5454545454545454,0.9318181818181818,0.9545454545454546,0.75,0.8181818181818182,0.3409090909090909,0.6818181818181818,0.2727272727272727,0.5454545454545454,0.29545454545454547,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.9318181818181818,0.9090909090909091,0.45454545454545453,0.5,0.13636363636363635,0.2727272727272727,0.6590909090909091,0.8636363636363636,0.38636363636363635,0.45454545454545453,0.1590909090909091,0.22727272727272727,0.09090909090909091,0.13636363636363635,0.7272727272727273,0.9090909090909091,0.22727272727272727,0.45454545454545453,0.11363636363636363,0.22727272727272727,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.1590909090909091,0.3181818181818182,0.45454545454545453,0.5909090909090909,0.5,0.5,0.4090909090909091,0.5,0.36363636363636365,0.4090909090909091,0.75,0.8636363636363636,0.38636363636363635,0.45454545454545453,1,Home,0,0.4772727272727273,0.6363636363636364,0.6590909090909091,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.4772727272727273,0.6363636363636364,0.6590909090909091,0.6363636363636364
Heath Chapman,0.45454545454545453,0.5454545454545454,0.0,0.0,0.18181818181818182,0.22727272727272727,0.7727272727272727,0.9090909090909091,0.29545454545454547,0.5909090909090909,0.25,0.5,0.06818181818181818,0.13636363636363635,0.36363636363636365,0.7272727272727273,0.29545454545454547,0.5909090909090909,0.06818181818181818,0.13636363636363635,0.1590909090909091,0.3181818181818182,0.5,0.6363636363636364,0.9090909090909091,0.9545454545454546,0.1590909090909091,0.3181818181818182,0.29545454545454547,0.4090909090909091,0.022727272727272728,0.045454545454545456,0.4772727272727273,0.6363636363636364,0.25,0.36363636363636365,0.22727272727272727,0.45454545454545453,0.25,0.5,0.5909090909090909,0.6818181818181818,0.29545454545454547,0.5909090909090909,0.29545454545454547,0.5909090909090909,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.6136363636363636,0.5909090909090909,0.8863636363636364,0.8636363636363636,0.18181818181818182,0.2727272727272727,0.29545454545454547,0.5909090909090909,0.5,0.5454545454545454,1,Home,0,0.7954545454545454,0.9090909090909091,0.7727272727272727,0.9090909090909091,0.09090909090909091,0.18181818181818182,0.1590909090909091,0.22727272727272727,0.13636363636363635,0.18181818181818182
Matthew Taberner,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.5454545454545454,0.7272727272727273,1.0,1.0,0.7272727272727273,0.7727272727272727,0.20454545454545456,0.36363636363636365,0.38636363636363635,0.7727272727272727,0.3181818181818182,0.6363636363636364,0.3181818181818182,0.4090909090909091,0.18181818181818182,0.36363636363636365,0.5227272727272727,0.6818181818181818,0.09090909090909091,0.18181818181818182,0.6363636363636364,0.8636363636363636,0.6818181818181818,0.9090909090909091,0.29545454545454547,0.3181818181818182,0.29545454545454547,0.4090909090909091,0.13636363636363635,0.22727272727272727,0.25,0.5,1.0,1.0,0.45454545454545453,0.5909090909090909,0.3181818181818182,0.6363636363636364,0.3181818181818182,0.6363636363636364,0.20454545454545456,0.4090909090909091,0.8181818181818182,0.7727272727272727,0.2727272727272727,0.2727272727272727,0.9090909090909091,0.9090909090909091,0.20454545454545456,0.3181818181818182,0.3181818181818182,0.6363636363636364,1.0,1.0,1,Home,0,0.6363636363636364,0.7727272727272727,0.13636363636363635,0.22727272727272727,0.25,0.36363636363636365,0.8636363636363636,0.8636363636363636,0.45454545454545453,0.45454545454545453
