Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Aaron Hall,14.0,6.0,20.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,6.0,14.0,15.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,565.0,3.0,4.0,0.0,70.0,1,Away,0,4.0,4.0,4.0,4.0,5.0
Brayden Fiorini,15.0,5.0,20.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,9.0,11.0,11.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,508.0,7.0,2.0,0.0,72.0,1,Away,0,4.0,4.0,1.0,4.0,9.0
Jarrod Harbrow,11.0,6.0,17.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,6.0,10.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,307.0,5.0,7.0,0.0,89.0,1,Away,0,2.0,2.0,3.0,2.0,9.0
Kade Kolodjashnij,13.0,4.0,17.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,0.0,4.0,11.0,10.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,257.0,6.0,5.0,0.0,88.0,1,Away,0,2.0,3.0,4.0,2.0,7.0
Touk Miller,5.0,12.0,17.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,7.0,9.0,11.0,0.0,1.0,2.0,0.0,2.0,2.0,6.0,102.0,4.0,0.0,2.0,83.0,1,Away,0,5.0,4.0,6.0,6.0,6.0
Jesse Joyce,12.0,4.0,16.0,6.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0,4.0,12.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,341.0,1.0,5.0,0.0,89.0,1,Away,0,6.0,6.0,3.0,1.0,3.0
Jack Martin,12.0,3.0,15.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,9.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,307.0,2.0,4.0,0.0,79.0,1,Away,0,1.0,2.0,6.0,8.0,2.0
Darcy Macpherson,13.0,2.0,15.0,7.0,1.0,0.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,4.0,4.0,9.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,248.0,7.0,2.0,2.0,85.0,1,Away,0,6.0,5.0,8.0,6.0,5.0
Jack Bowes,9.0,6.0,15.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,7.0,7.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,225.0,2.0,6.0,1.0,77.0,1,Away,0,4.0,4.0,2.0,2.0,3.0
Nicholas Holman,6.0,9.0,15.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,11.0,4.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,174.0,2.0,5.0,0.0,79.0,1,Away,0,2.0,2.0,11.0,3.0,5.0
Michael Rischitelli,10.0,4.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,1.0,5.0,10.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,275.0,6.0,4.0,0.0,83.0,1,Away,0,4.0,4.0,3.0,2.0,3.0
Lachlan Weller,3.0,11.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,2.0,6.0,9.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,127.0,3.0,5.0,0.0,86.0,1,Away,0,1.0,1.0,2.0,4.0,2.0
Steven May,8.0,5.0,13.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,2.0,9.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,188.0,2.0,3.0,0.0,93.0,1,Away,0,7.0,7.0,3.0,0.0,0.0
Jarrod Witts,7.0,6.0,13.0,2.0,0.0,0.0,3.0,48.0,0.0,5.0,6.0,1.0,3.0,2.0,1.0,9.0,4.0,9.0,0.0,0.0,4.0,0.0,2.0,4.0,7.0,195.0,3.0,1.0,0.0,83.0,1,Away,0,2.0,2.0,3.0,7.0,4.0
Sam Day,8.0,4.0,12.0,6.0,0.0,1.0,1.0,9.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,8.0,8.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,197.0,2.0,1.0,1.0,84.0,1,Away,0,5.0,5.0,0.0,4.0,4.0
Ben Ainsworth,5.0,6.0,11.0,0.0,1.0,1.0,4.0,0.0,1.0,5.0,0.0,7.0,0.0,0.0,2.0,6.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,194.0,3.0,2.0,0.0,69.0,1,Away,0,0.0,0.0,4.0,5.0,5.0
Aaron Young,4.0,5.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,164.0,2.0,3.0,0.0,83.0,1,Away,0,2.0,1.0,2.0,3.0,3.0
Alex Sexton,5.0,4.0,9.0,2.0,0.0,0.0,4.0,0.0,3.0,4.0,1.0,2.0,0.0,1.0,1.0,6.0,4.0,8.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,189.0,1.0,3.0,1.0,79.0,1,Away,0,2.0,2.0,3.0,4.0,1.0
Rory Thompson,5.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,2.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,145.0,1.0,6.0,0.0,76.0,1,Away,0,2.0,3.0,0.0,0.0,2.0
