Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Phil Davis,9.0,9.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,5.0,11.0,16.0,2.0,0.0,8.0,0.0,0.0,0.0,4.0,249.0,2.0,10.0,0.0,96.0,1,Away,0,6.0,8.0,0.0,4.0,2.0
Tim Taranto,8.0,8.0,16.0,2.0,1.0,0.0,6.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,9.0,8.0,10.0,0.0,1.0,3.0,0.0,0.0,3.0,7.0,239.0,3.0,0.0,2.0,82.0,1,Away,0,2.0,1.0,4.0,4.0,6.0
Adam Kennedy,7.0,8.0,15.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,15.0,0.0,0.0,5.0,7.0,0.0,0.0,4.0,364.0,3.0,4.0,0.0,79.0,1,Away,0,6.0,6.0,2.0,4.0,0.0
Nick Haynes,14.0,1.0,15.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,2.0,2.0,13.0,10.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,447.0,5.0,5.0,0.0,88.0,1,Away,0,4.0,4.0,5.0,1.0,5.0
Brett Deledio,9.0,5.0,14.0,6.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,6.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,232.0,4.0,6.0,1.0,72.0,1,Away,0,6.0,5.0,3.0,4.0,5.0
Matthew Buntine,10.0,3.0,13.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,7.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,257.0,3.0,8.0,0.0,77.0,1,Away,0,4.0,5.0,1.0,0.0,4.0
Adam Tomlinson,7.0,6.0,13.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,7.0,7.0,10.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,112.0,3.0,2.0,0.0,87.0,1,Away,0,5.0,4.0,0.0,3.0,3.0
Toby Greene,7.0,5.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,8.0,4.0,7.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,166.0,2.0,2.0,0.0,79.0,1,Away,0,1.0,1.0,2.0,5.0,5.0
Dawson Simpson,5.0,6.0,11.0,2.0,0.0,0.0,7.0,46.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,5.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,171.0,3.0,3.0,2.0,66.0,1,Away,0,1.0,2.0,5.0,3.0,2.0
Samuel Reid,7.0,3.0,10.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,305.0,1.0,3.0,0.0,85.0,1,Away,0,3.0,3.0,4.0,4.0,5.0
Rory Lobb,7.0,2.0,9.0,5.0,0.0,1.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,4.0,1.0,4.0,0.0,1.0,1.0,2.0,170.0,2.0,0.0,2.0,87.0,1,Away,0,1.0,4.0,1.0,2.0,5.0
Harrison Himmelberg,4.0,5.0,9.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,4.0,7.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,150.0,2.0,1.0,1.0,86.0,1,Away,0,2.0,2.0,3.0,3.0,2.0
Brent Daniels,3.0,6.0,9.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,135.0,0.0,2.0,1.0,60.0,1,Away,0,1.0,1.0,2.0,3.0,1.0
Lachlan Keeffe,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,93.0,1,Away,0,4.0,4.0,0.0,1.0,1.0
Zac Langdon,3.0,3.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,65.0,1.0,0.0,1.0,80.0,1,Away,0,0.0,0.0,1.0,4.0,2.0
