Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Tory Dickson,10.0,4.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,12.0,10.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,258.0,1.0,2.0,0.0,84.0,0.5,Home,0,8.0,7.0,0.0,5.0,4.0
Rhylee West,8.0,6.0,14.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,8.0,6.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,200.0,5.0,3.0,0.0,75.0,0.5,Home,0,2.0,3.0,1.0,3.0,4.0
Zaine Cordy,7.0,6.0,13.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,8.0,8.0,0.0,1.0,6.0,0.0,0.0,2.0,4.0,107.0,3.0,2.0,0.0,95.0,0.5,Home,0,2.0,1.0,2.0,3.0,5.0
Bailey Dale,10.0,3.0,13.0,6.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,265.0,2.0,2.0,1.0,80.0,0.5,Home,0,6.0,3.0,1.0,8.0,4.0
Timothy English,6.0,7.0,13.0,2.0,0.0,0.0,4.0,14.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,6.0,7.0,10.0,1.0,0.0,7.0,0.0,2.0,0.0,7.0,75.0,0.0,3.0,0.0,85.0,0.5,Home,0,1.0,2.0,4.0,7.0,3.0
Easton Wood,7.0,3.0,10.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,9.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,184.0,2.0,6.0,0.0,92.0,0.5,Home,0,6.0,6.0,2.0,2.0,1.0
Dale Morris,3.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,0.0,3.0,0.0,50.0,0.5,Home,0,1.0,2.0,0.0,1.0,0.0
Nathan Fyfe,18.0,15.0,33.0,5.0,0.0,2.0,4.0,0.0,0.0,5.0,7.0,5.0,2.0,5.0,3.0,15.0,18.0,25.0,1.0,0.0,1.0,0.0,5.0,2.0,9.0,534.0,5.0,2.0,0.0,86.0,0.5,Away,0,4.0,5.0,4.0,9.0,8.0
Andrew Brayshaw,17.0,9.0,26.0,3.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,1.0,12.0,14.0,18.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,532.0,4.0,4.0,0.0,75.0,0.5,Away,1,2.0,3.0,3.0,8.0,8.0
Bradley Hill,11.0,11.0,22.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,375.0,5.0,2.0,0.0,90.0,0.5,Away,0,3.0,3.0,1.0,4.0,4.0
Connor Blakely,17.0,5.0,22.0,9.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,6.0,2.0,2.0,5.0,15.0,17.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,429.0,4.0,4.0,0.0,95.0,0.5,Away,0,8.0,9.0,2.0,4.0,5.0
Michael Walters,14.0,7.0,21.0,3.0,1.0,1.0,8.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,10.0,12.0,18.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,344.0,2.0,3.0,4.0,86.0,0.5,Away,0,2.0,2.0,4.0,5.0,3.0
David Mundy,10.0,8.0,18.0,6.0,0.0,0.0,5.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,7.0,12.0,14.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,167.0,1.0,1.0,1.0,77.0,0.5,Away,0,6.0,5.0,4.0,3.0,4.0
Reece Conca,9.0,8.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,2.0,5.0,12.0,13.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,152.0,1.0,3.0,2.0,72.0,0.5,Away,0,2.0,2.0,0.0,6.0,4.0
Ed Langdon,8.0,8.0,16.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,268.0,3.0,2.0,2.0,85.0,0.5,Away,0,4.0,4.0,1.0,4.0,3.0
Taylin Duman,9.0,6.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,14.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,207.0,3.0,2.0,0.0,93.0,0.5,Away,0,6.0,6.0,0.0,6.0,2.0
Hayden Ballantyne,10.0,4.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,10.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,302.0,7.0,1.0,0.0,80.0,0.5,Away,0,5.0,4.0,1.0,4.0,5.0
Darcy Tucker,5.0,9.0,14.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,12.0,12.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,182.0,2.0,1.0,0.0,83.0,0.5,Away,0,4.0,3.0,2.0,5.0,2.0
Sean Darcy,4.0,9.0,13.0,2.0,0.0,1.0,1.0,19.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,121.0,2.0,2.0,0.0,65.0,0.5,Away,0,2.0,1.0,1.0,3.0,6.0
Adam Cerra,8.0,5.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,6.0,7.0,11.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,241.0,3.0,5.0,0.0,68.0,0.5,Away,0,5.0,5.0,0.0,4.0,2.0
Joel Hamling,9.0,3.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,4.0,8.0,10.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,309.0,4.0,6.0,0.0,100.0,0.5,Away,0,7.0,9.0,0.0,3.0,2.0
Nathan Wilson,10.0,2.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,225.0,4.0,6.0,0.0,81.0,0.5,Away,0,4.0,4.0,2.0,1.0,5.0
Brandon Matera,7.0,4.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,105.0,0.0,1.0,0.0,73.0,0.5,Away,0,2.0,2.0,0.0,6.0,2.0
Rory Lobb,6.0,5.0,11.0,8.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,5.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,208.0,2.0,0.0,0.0,100.0,0.5,Away,0,4.0,6.0,0.0,5.0,3.0
Lachlan Schultz,6.0,5.0,11.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,9.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,141.0,1.0,2.0,0.0,78.0,0.5,Away,0,0.0,1.0,2.0,5.0,4.0
Luke Ryan,7.0,3.0,10.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,206.0,3.0,3.0,0.0,63.0,0.5,Away,0,5.0,5.0,2.0,2.0,3.0
Brett Bewley,6.0,3.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,197.0,3.0,1.0,1.0,77.0,0.5,Away,0,4.0,4.0,2.0,2.0,1.0
Aaron Sandilands,0.0,8.0,8.0,2.0,0.0,0.0,4.0,35.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,6.0,2.0,6.0,1.0,0.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,79.0,0.5,Away,0,1.0,2.0,4.0,4.0,2.0
Griffin Logue,5.0,3.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,104.0,2.0,2.0,0.0,93.0,0.5,Away,0,2.0,3.0,1.0,5.0,3.0
