Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Nathan Jones,14.0,17.0,31.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,8.0,0.0,2.0,1.0,0.0,10.0,21.0,26.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,497.0,3.0,0.0,0.0,82.0,0,Home,0,0.0,0.0,1.0,6.0,5.0
Jack Viney,16.0,14.0,30.0,6.0,0.0,0.0,7.0,0.0,1.0,9.0,11.0,5.0,0.0,0.0,2.0,16.0,14.0,20.0,2.0,1.0,2.0,0.0,7.0,4.0,8.0,498.0,8.0,4.0,1.0,85.0,0,Home,0,4.0,5.0,6.0,7.0,10.0
Bernie Vince,15.0,7.0,22.0,5.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,0.0,6.0,14.0,14.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,484.0,2.0,3.0,1.0,85.0,0,Home,0,4.0,5.0,5.0,6.0,8.0
Dom Tyson,8.0,13.0,21.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,6.0,2.0,0.0,2.0,1.0,10.0,10.0,17.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,255.0,4.0,4.0,1.0,74.0,0,Home,0,4.0,4.0,3.0,3.0,4.0
Tomas Bugg,9.0,12.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,15.0,18.0,1.0,0.0,3.0,0.0,0.0,1.0,7.0,296.0,2.0,2.0,0.0,80.0,0,Home,0,0.0,1.0,1.0,6.0,3.0
Cameron Pedersen,4.0,15.0,19.0,2.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,4.0,15.0,15.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,173.0,4.0,2.0,0.0,85.0,0,Home,0,1.0,2.0,2.0,4.0,4.0
Ben Kennedy,12.0,6.0,18.0,4.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,320.0,4.0,0.0,1.0,70.0,0,Home,0,4.0,4.0,1.0,3.0,7.0
Joshua Wagner,6.0,11.0,17.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,14.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,110.0,2.0,3.0,0.0,82.0,0,Home,0,1.0,1.0,4.0,2.0,4.0
Jesse Hogan,11.0,5.0,16.0,8.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,12.0,4.0,12.0,5.0,6.0,1.0,0.0,0.0,0.0,10.0,185.0,4.0,2.0,2.0,95.0,0,Home,2,3.0,2.0,0.0,10.0,4.0
James Harmes,7.0,9.0,16.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,8.0,8.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,247.0,4.0,2.0,0.0,78.0,0,Home,0,2.0,2.0,1.0,4.0,2.0
