Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Aaron Hall,24.0,12.0,36.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,12.0,2.0,0.0,5.0,23.0,31.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,757.0,5.0,4.0,0.0,82.0,0,Home,0,6.0,6.0,1.0,2.0,5.0
Jy Simpkin,16.0,13.0,29.0,8.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,5.0,1.0,0.0,0.0,13.0,17.0,20.0,1.0,0.0,2.0,2.0,5.0,2.0,4.0,321.0,7.0,4.0,0.0,81.0,0,Home,0,7.0,8.0,2.0,3.0,9.0
Luke D-Uniacke,15.0,8.0,23.0,6.0,1.0,0.0,2.0,0.0,0.0,6.0,6.0,4.0,3.0,1.0,1.0,12.0,14.0,15.0,1.0,0.0,3.0,2.0,3.0,3.0,4.0,464.0,6.0,0.0,0.0,80.0,0,Home,0,5.0,6.0,2.0,4.0,8.0
Jack Ziebell,15.0,5.0,20.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,4.0,12.0,18.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,353.0,3.0,5.0,0.0,84.0,0,Home,0,6.0,7.0,4.0,1.0,2.0
Bailey Scott,9.0,11.0,20.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,6.0,1.0,0.0,0.0,2.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,243.0,5.0,0.0,2.0,86.0,0,Home,0,5.0,5.0,1.0,0.0,7.0
Trent Dumont,12.0,7.0,19.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,1.0,4.0,17.0,12.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,266.0,5.0,2.0,0.0,86.0,0,Home,0,7.0,7.0,1.0,0.0,7.0
Jaidyn Stephenson,14.0,5.0,19.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,5.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,252.0,3.0,2.0,0.0,78.0,0,Home,0,8.0,8.0,2.0,3.0,5.0
Luke McDonald,14.0,3.0,17.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,4.0,14.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,189.0,3.0,3.0,0.0,81.0,0,Home,0,9.0,9.0,4.0,2.0,6.0
Will Phillips,8.0,9.0,17.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,8.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,182.0,6.0,1.0,0.0,74.0,0,Home,0,3.0,3.0,2.0,2.0,8.0
Robbie Tarrant,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,2.0,13.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,121.0,0.0,4.0,0.0,82.0,0,Home,0,9.0,9.0,1.0,2.0,1.0
